millis,datetime,lon,lat,ax,ay,az,temp,pres
102696,,,,,,,20.50,1042.10
102897,,,,515,503,616,,
103696,,,,515,503,617,,
104693,,,,,,,20.49,1040.70
104892,,,,515,503,616,,
105711,,,,515,503,617,,
106688,,,,,,,20.51,1041.40
106887,,,,516,503,617,,
107685,,,,515,503,617,,
108691,,,,,,,20.50,1043.50
108892,,,,515,503,617,,
109680,,,,515,503,616,,
110696,,,,,,,20.49,1042.80
110895,,,,515,503,617,,
111675,,,,515,503,617,,
112670,,,,,,,20.50,1042.10
112869,,,,515,503,617,,
113670,,,,515,503,617,,
114716,,,,,,,20.49,1040.70
114997,,,,515,503,617,,
115685,,,,515,503,617,,
116670,,,,,,,20.49,1043.50
116871,,,,515,503,617,,
117649,,,,515,503,617,,
118665,,,,,,,20.50,1039.40
118865,,,,515,503,617,,
119644,,,,515,503,616,,
120680,,,,,,,20.49,1043.50
120879,,,,515,503,617,,
121649,,,,515,503,616,,
122644,,,,,,,20.49,1041.40
122853,,,,515,503,617,,
123643,,,,515,503,617,,
124639,,,,,,,20.50,1042.80
124835,,,,515,503,617,,
125659,,,,515,503,616,,
126644,,,,,,,20.50,1044.20
126842,,,,515,503,617,,
127629,,,,515,503,617,,
128628,,,,,,,20.50,1042.80
128825,,,,516,503,616,,
129628,,,,515,503,617,,
130641,,,,,,,20.51,1044.90
130840,,,,515,503,617,,
131612,,,,515,503,617,,
132616,,,,,,,20.50,1042.10
132816,,,,515,503,617,,
133617,,,,515,503,616,,
134610,,,,,,,20.52,1043.50
134811,,,,515,503,617,,
135682,,,,515,503,617,,
136605,,,,,,,20.51,1044.20
136806,,,,515,503,617,,
137607,,,,515,503,617,,
138602,,,,,,,20.51,1043.50
138799,,,,515,503,617,,
139599,,,,515,503,617,,
140617,,,,,,,20.50,1043.50
140900,,,,515,503,617,,
141594,,,,516,503,616,,
142589,,,,,,,20.50,1040.70
142788,,,,515,503,617,,
143581,,,,515,503,617,,
144586,,,,,,,20.51,1042.10
144787,,,,515,503,617,,
145604,,,,515,503,617,,
146581,,,,,,,20.52,1042.80
146778,,,,515,503,617,,
147578,,,,515,503,617,,
148576,,,,,,,20.52,1042.80
148774,,,,515,503,617,,
149573,,,,515,503,616,,
150599,,,,,,,20.50,1042.80
150800,,,,516,503,617,,
151568,,,,516,503,617,,
152565,,,,,,,20.50,1041.40
152764,,,,515,503,617,,
153552,,,,515,503,617,,
154570,,,,,,,20.50,1038.70
154750,,,,515,503,617,,
155568,,,,515,503,617,,
156614,,,,,,,20.50,1040.70
156815,,,,515,503,617,,
157560,,,,515,503,617,,
158556,,,,,,,20.51,1042.10
158754,,,,516,503,617,,
159539,,,,515,503,617,,
160563,,,,,,,20.50,1042.80
160761,,,,515,503,617,,
161542,,,,515,503,616,,
162539,,,,,,,20.49,1042.80
162748,,,,515,503,617,,
163526,,,,515,503,617,,
164542,,,,,,,20.50,1042.10
164741,,,,515,503,617,,
165541,,,,515,503,616,,
166537,,,,,,,20.50,1042.80
166821,,,,515,503,617,,
167516,,,,515,503,617,,
168531,,,,,,,20.51,1043.50
168728,,,,515,503,617,,
169510,,,,515,503,617,,
170547,,,,,,,20.49,1042.10
170745,,,,516,503,617,,
171505,,,,515,503,616,,
172521,,,,,,,20.49,1041.40
172720,,,,515,503,617,,
173498,,,,515,503,617,,
174505,,,,,,,20.50,1040.00
174704,,,,515,503,617,,
175525,,,,515,503,617,,
176500,,,,,,,20.50,1041.40
176699,,,,516,503,617,,
177549,,,,515,503,617,,
178495,,,,,,,20.50,1044.20
178694,,,,515,503,617,,
179484,,,,515,503,617,,
180510,,,,,,,20.50,1042.10
180695,,,,515,503,616,,
181489,,,,515,503,617,,
182484,,,,,,,20.50,1043.50
182681,,,,516,503,617,,
183484,,,,515,503,616,,
184479,,,,,,,20.49,1042.10
184676,,,,515,503,617,,
185489,,,,515,503,616,,
186480,,,,,,,20.49,1044.20
186677,,,,515,503,617,,
187469,,,,515,503,617,,
188477,,,,,,,20.49,1042.10
188676,,,,515,503,617,,
189458,,,,515,503,616,,
190494,,,,,,,20.49,1044.20
190691,,,,515,503,617,,
191453,,,,516,503,617,,
192458,,,,,,,20.48,1043.50
192659,,,,515,503,617,,
193456,,,,515,503,617,,
194453,,,,,,,20.50,1042.80
194650,,,,515,503,617,,
195473,,,,516,503,617,,
196448,,,,,,,20.49,1040.70
196648,,,,516,503,617,,
197437,,,,515,503,617,,
198502,,,,,,,20.49,1040.70
198701,,,,515,503,616,,
199442,,,,515,503,617,,
200458,,,,,,,20.47,1043.50
200654,,,,515,503,616,,
201437,,,,515,503,616,,
202442,,,,,,,20.48,1043.50
202641,,,,515,503,616,,
203421,,,,515,503,617,,
204437,,,,,,,20.47,1042.80
204634,,,,515,503,617,,
205445,,,,515,503,617,,
206422,,,,,,,20.48,1040.70
206618,,,,515,503,617,,
207421,,,,515,503,616,,
208416,,,,,,,20.46,1043.50
208613,,,,515,503,617,,
209416,,,,515,503,617,,
210432,,,,,,,20.48,1042.80
210630,,,,515,503,617,,
211408,,,,516,503,616,,
212406,,,,,,,20.47,1042.10
212602,,,,515,503,617,,
213395,,,,515,503,617,,
214409,,,,,,,20.47,1042.10
214607,,,,515,503,616,,
215408,,,,515,503,617,,
216403,,,,,,,20.47,1043.50
216600,,,,515,503,617,,
217391,,,,515,503,617,,
218390,,,,,,,20.47,1044.20
218589,,,,515,503,617,,
219428,,,,515,503,617,,
220413,,,,,,,20.48,1042.10
220612,,,,515,503,616,,
221372,,,,515,503,617,,
222388,,,,,,,20.47,1040.10
222588,,,,515,503,617,,
223367,,,,515,503,617,,
224374,,,,,,,20.46,1041.40
224573,,,,515,503,617,,
225392,,,,515,503,617,,
226367,,,,,,,20.48,1042.10
226568,,,,515,503,617,,
227366,,,,516,503,616,,
228362,,,,,,,20.47,1043.50
228562,,,,515,503,616,,
229351,,,,516,503,617,,
230387,,,,,,,20.47,1040.10
230586,,,,515,503,616,,
231346,,,,515,503,617,,
232361,,,,,,,20.47,1041.40
